(`TIME`, `PM10`, `PM25`, `NO2`, `O3`, `SO2`, `MAX_VALUE`, `LOKASI`, `LEVEL`),
('2024-03-16', 38, 73, 11, 84, 6, 84, 'Jakarta GBK', 'Moderate'),
('2024-03-17', 40, 74, 11, 84, 6, 84, 'Jakarta GBK', 'Moderate'),
('2024-03-18', 49, 73, 13, 77, 7, 77, 'Jakarta GBK', 'Moderate'),
('2024-03-19', 46, 61, 15, 71, 7, 71, 'Jakarta GBK', 'Moderate'),
('2024-03-20', 41, 51, 16, 67, 8, 67, 'Jakarta GBK', 'Moderate'),
('2024-03-21', 57, 80, 16, 67, 8, 80, 'Jakarta GBK', 'Moderate'),
('2024-03-22', 56, 112, 16, 71, 10, 112, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-03-23', 154, 241, 16, 67, 16, 241, 'Jakarta GBK', 'Very Unhealthy'),
('2024-03-24', 100, 173, 16, 64, 10, 173, 'Jakarta GBK', 'Unhealthy'),
('2024-03-25', 74, 174, 16, 67, 9, 174, 'Jakarta GBK', 'Unhealthy'),
('2024-03-26', 97, 173, 16, 64, 11, 173, 'Jakarta GBK', 'Unhealthy'),
('2024-03-27', 107, 197, 15, 71, 11, 197, 'Jakarta GBK', 'Unhealthy'),
('2024-03-28', 147, 225, 16, 67, 13, 225, 'Jakarta GBK', 'Very Unhealthy'),
('2024-03-29', 120, 178, 15, 67, 12, 178, 'Jakarta GBK', 'Unhealthy'),
('2024-03-30', 94, 149, 15, 71, 13, 149, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-03-31', 112, 210, 15, 67, 14, 210, 'Jakarta GBK', 'Very Unhealthy'),
('2024-04-01', 154, 304, 18, 51, 19, 304, 'Jakarta GBK', 'Hazardous'),
('2024-04-02', 147, 240, 17, 58, 16, 240, 'Jakarta GBK', 'Very Unhealthy'),
('2024-04-03', 113, 181, 18, 58, 16, 181, 'Jakarta GBK', 'Unhealthy'),
('2024-04-04', 90, 150, 18, 51, 19, 150, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-04-05', 153, 277, 18, 54, 19, 277, 'Jakarta GBK', 'Very Unhealthy'),
('2024-04-06', 125, 236, 19, 47, 19, 236, 'Jakarta GBK', 'Very Unhealthy'),
('2024-04-15', 500, 76, 58, 58, 18, 500, 'Jakarta GBK', 'Hazardous'),
('2024-04-16', 64, 113, 58, 64, 18, 113, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-04-17', 95, 224, 57, 64, 19, 224, 'Jakarta GBK', 'Very Unhealthy'),
('2024-04-18', 84, 221, 53, 64, 21, 221, 'Jakarta GBK', 'Very Unhealthy'),
('2024-04-19', 67, 116, 59, 64, 20, 116, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-04-20', 108, 152, 59, 61, 22, 152, 'Jakarta GBK', 'Unhealthy'),
('2024-04-21', 80, 177, 61, 51, 23, 177, 'Jakarta GBK', 'Unhealthy'),
('2024-04-22', 86, 200, 61, 49, 25, 200, 'Jakarta GBK', 'Unhealthy'),
('2024-04-23', 95, 219, 61, 51, 24, 219, 'Jakarta GBK', 'Very Unhealthy'),
('2024-04-24', 68, 145, 61, 51, 24, 145, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-04-25', 6, 10, 60, 54, 22, 60, 'Jakarta GBK', 'Moderate'),
('2024-05-09', 154, 204, 60, 46, 6, 204, 'Jakarta GBK', 'Very Unhealthy'),
('2023-09-27', 93, 119, 33, 4, 52, 119, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-09-28', 90, 115, 5, 4, 47, 115, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-09-29', 116, 161, 57, 4, 80, 161, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-09-30', 144, 199, 98, 4, 77, 199, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-01', 154, 201, 80, 4, 67, 201, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-10-02', 104, 116, 59, 4, 58, 116, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-10-03', 78, 100, 42, 4, 10, 100, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-10-04', 112, 156, 62, 3, 10, 156, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-05', 141, 190, 89, 3, 12, 190, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-06', 155, 217, 3, 2, 19, 217, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-10-07', 163, 152, 22, 2, 21, 163, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-08', 151, 209, 4, 3, 24, 209, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-10-09', 110, 141, 14, 2, 20, 141, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-10-10', 129, 170, 2, 3, 20, 170, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-11', 154, 225, 4, 2, 22, 225, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-10-12', 158, 151, 14, 2, 26, 158, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-13', 157, 149, 10, 3, 48, 157, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-14', 133, 189, 21, 3, 35, 189, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-15', 121, 169, 25, 3, 38, 169, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-16', 141, 196, 7, 3, 46, 196, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-17', 153, 200, 17, 3, 48, 200, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-18', 128, 185, 19, 3, 44, 185, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-19', 127, 176, 6, 4, 72, 176, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-20', 126, 162, 7, 6, 125, 162, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-21', 143, 169, 39, 5, 126, 169, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-22', 158, 222, 41, 5, 128, 222, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-10-23', 158, 152, 24, 5, 127, 158, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-24', 154, 226, 36, 5, 128, 226, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-10-25', 146, 183, 39, 4, 126, 183, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-26', 136, 164, 500, 4, 126, 500, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2023-10-27', 152, 184, 67, 5, 125, 184, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-28', 152, 176, 33, 5, 124, 176, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-29', 120, 148, 26, 6, 121, 148, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-10-30', 111, 157, 27, 5, 120, 157, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-10-31', 140, 203, 48, 6, 122, 203, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-11-01', 151, 176, 54, 5, 124, 176, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-11-02', 134, 170, 10, 5, 124, 170, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-11-03', 143, 177, 31, 5, 124, 177, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-11-04', 153, 190, 98, 4, 126, 190, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-11-05', 89, 95, 81, 4, 121, 121, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-06', 96, 107, 34, 5, 200, 200, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-11-07', 111, 171, 500, 4, 55, 500, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2023-11-08', 117, 214, 65, 4, 67, 214, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-11-09', 105, 184, 43, 2, 64, 184, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-11-10', 99, 175, 33, 4, 113, 175, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-11-11', 112, 198, 28, 5, 112, 198, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-11-12', 66, 96, 32, 2, 109, 109, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-13', 75, 115, 39, 12, 44, 115, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-14', 68, 97, 32, 12, 48, 97, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-11-15', 53, 61, 35, 7, 40, 61, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-11-16', 65, 92, 59, 6, 15, 92, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-11-17', 77, 149, 41, 5, 7, 149, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-18', 82, 136, 32, 6, 3, 136, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-19', 76, 105, 26, 6, 2, 105, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-20', 91, 109, 19, 6, 3, 109, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-21', 74, 112, 33, 5, 25, 112, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-22', 62, 89, 26, 1, 6, 89, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-11-23', 80, 131, 27, 1, 9, 131, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-24', 119, 211, 48, 1, 18, 211, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-11-25', 64, 90, 54, 1, 14, 90, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-11-26', 63, 88, 10, 1, 12, 88, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-11-27', 67, 103, 98, 1, 12, 103, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-28', 82, 133, 81, 1, 11, 133, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-29', 68, 102, 34, 1, 11, 102, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-11-30', 45, 57, 500, 1, 10, 500, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2023-12-01', 59, 89, 65, 1, 10, 89, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-02', 66, 105, 79, 1, 13, 105, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-12-04', 49, 61, 4, 7, 32, 61, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-05', 56, 75, 26, 5, 50, 75, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-06', 67, 101, 1, 5, 200, 200, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-12-07', 63, 94, 1, 5, 47, 94, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-08', 62, 90, 97, 5, 44, 97, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-09', 71, 114, 30, 5, 44, 114, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-12-10', 71, 117, 33, 5, 47, 117, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-12-11', 71, 113, 6, 5, 52, 113, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-12-12', 69, 107, 9, 5, 45, 107, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-12-13', 75, 127, 8, 5, 42, 127, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-12-14', 65, 96, 11, 5, 43, 96, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-15', 55, 73, 11, 5, 40, 73, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-16', 61, 89, 6, 4, 41, 89, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-17', 63, 99, 2, 5, 40, 99, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-18', 66, 107, 93, 5, 40, 107, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-12-19', 51, 69, 86, 4, 38, 86, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-20', 48, 60, 87, 4, 40, 87, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-21', 54, 68, 92, 4, 43, 92, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2023-12-22', 74, 118, 91, 4, 45, 118, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-12-23', 90, 162, 96, 4, 49, 162, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-12-24', 92, 193, 31, 4, 200, 200, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-12-25', 85, 209, 49, 4, 49, 209, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2023-12-26', 97, 144, 45, 4, 51, 144, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2023-12-27', 78, 172, 45, 4, 49, 172, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-12-28', 81, 169, 31, 4, 48, 169, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-12-29', 107, 166, 96, 5, 62, 166, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-12-30', 97, 166, 9, 5, 67, 166, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-12-31', 65, 138, 18, 5, 61, 138, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-01-01', 60, 115, 36, 5, 61, 115, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-01-02', 66, 132, 99, 5, 55, 132, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-01-03', 66, 166, 99, 5, 60, 166, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-01-04', 61, 136, 2, 5, 55, 136, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-01-05', 61, 131, 16, 5, 59, 131, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-01-06', 74, 157, 16, 4, 62, 157, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-01-07', 65, 136, 500, 4, 75, 500, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-01-08', 61, 128, 26, 4, 64, 128, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-01-09', 36, 48, 60, 4, 57, 60, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-01-10', 49, 74, 46, 4, 55, 74, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-01-11', 51, 87, 92, 4, 59, 92, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-01-12', 63, 122, 81, 4, 58, 122, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-01-13', 60, 93, 82, 4, 58, 93, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-01-14', 77, 145, 90, 5, 71, 145, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-01-29', 55, 102, 86, 4, 68, 102, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-01-30', 70, 158, 98, 4, 84, 158, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-01-31', 55, 107, 77, 4, 59, 107, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-02-01', 45, 68, 95, 4, 58, 95, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-02', 39, 60, 93, 4, 53, 93, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-03', 63, 141, 87, 4, 57, 141, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-02-04', 41, 54, 74, 4, 68, 74, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-05', 47, 63, 86, 4, 51, 86, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-06', 75, 165, 97, 4, 48, 165, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-02-07', 34, 44, 74, 4, 48, 74, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-08', 44, 59, 81, 4, 56, 81, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-09', 50, 68, 84, 4, 40, 84, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-12', 92, 215, 90, 6, 31, 215, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2024-02-13', 91, 213, 80, 6, 33, 213, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2024-02-14', 75, 155, 79, 6, 31, 155, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-02-15', 74, 161, 88, 6, 45, 161, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-02-16', 93, 149, 8, 6, 66, 149, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-02-17', 73, 187, 93, 6, 46, 187, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-02-18', 73, 176, 86, 6, 46, 176, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-02-19', 66, 123, 94, 6, 44, 123, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-02-20', 82, 195, 87, 6, 38, 195, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-02-21', 69, 119, 4, 6, 33, 119, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-02-22', 64, 13, 0, 5, 36, 64, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-23', 56, 72, 78, 5, 27, 78, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-24', 69, 108, 77, 5, 31, 108, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-02-25', 61, 107, 73, 5, 32, 107, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-02-26', 65, 123, 43, 6, 29, 123, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-02-28', 98, 99, 48, 2, 79, 99, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-02-29', 114, 132, 48, 2, 77, 132, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-03-01', 92, 99, 59, 1, 100, 100, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-03-04', 42, 40, 99, 12, 0, 99, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-03-05', 50, 46, 47, 12, 0, 50, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-03-06', 53, 49, 47, 12, 1, 53, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-03-07', 52, 45, 47, 12, 2, 52, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-03-08', 23, 23, 44, 12, 1, 44, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-03-09', 29, 29, 46, 12, 0, 46, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-03-10', 77, 101, 74, 0, 13, 101, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-03-11', 81, 111, 60, 0, 4, 111, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-03-12', 75, 95, 48, 12, 0, 95, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-03-13', 77, 97, 50, 12, 4, 97, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-03-14', 77, 103, 500, 12, 1, 500, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-03-15', 31, 31, 46, 12, 0, 46, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-03-16', 32, 32, 41, 12, 1, 41, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-03-17', 43, 44, 39, 12, 0, 44, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-03-18', 30, 30, 45, 12, 0, 45, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-03-19', 27, 27, 48, 12, 32, 48, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-03-20', 33, 33, 500, 12, 0, 500, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-03-21', 56, 61, 53, 12, 0, 61, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-03-22', 109, 154, 66, 12, 0, 154, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-03-23', 118, 172, 17, 12, 3, 172, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-03-24', 134, 201, 70, 12, 3, 201, 'Kota Bogor Tanah Sereal', 'Very Unhealthy'),
('2024-03-25', 88, 121, 63, 12, 4, 121, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-03-26', 77, 99, 81, 12, 1, 99, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-03-27', 97, 133, 78, 12, 2, 133, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-03-28', 94, 130, 89, 12, 17, 130, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-03-29', 86, 117, 82, 12, 1, 117, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-03-30', 83, 111, 88, 12, 1, 111, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-03-31', 87, 118, 3, 12, 13, 118, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-01', 129, 183, 34, 12, 38, 183, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-04-02', 97, 136, 12, 12, 1, 136, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-03', 89, 120, 12, 2, 62, 120, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-04', 67, 78, 31, 5, 116, 116, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-05', 119, 161, 35, 5, 116, 161, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-04-06', 97, 127, 36, 4, 106, 127, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-07', 96, 129, 31, 5, 106, 129, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-08', 72, 88, 31, 4, 105, 105, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-09', 67, 78, 31, 4, 104, 104, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-10', 82, 102, 31, 4, 107, 107, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-11', 58, 61, 31, 4, 98, 98, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-04-12', 73, 87, 31, 4, 105, 105, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-13', 63, 71, 31, 4, 104, 104, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-14', 60, 64, 31, 4, 105, 105, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-15', 64, 69, 26, 4, 109, 109, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-16', 90, 114, 25, 4, 106, 114, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-17', 95, 123, 35, 4, 103, 123, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-18', 64, 70, 45, 1, 2, 70, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-04-19', 61, 64, 44, 8, 1, 64, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-04-22', 73, 90, 75, 2, 102, 102, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-23', 97, 134, 66, 2, 106, 134, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-24', 99, 142, 68, 2, 107, 142, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-25', 106, 153, 56, 2, 107, 153, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-04-26', 65, 78, 52, 2, 103, 103, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-27', 71, 89, 66, 2, 106, 106, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-28', 69, 82, 82, 2, 104, 104, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-04-29', 117, 168, 96, 6, 55, 168, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-04-30', 125, 180, 8, 6, 59, 180, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-01', 132, 186, 0, 3, 57, 186, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-02', 112, 160, 68, 3, 62, 160, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-03', 132, 193, 6, 3, 64, 193, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-04', 123, 178, 19, 3, 64, 178, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-05', 111, 158, 50, 2, 52, 158, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-06', 106, 149, 18, 3, 49, 149, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-05-07', 154, 149, 41, 3, 54, 154, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-08', 147, 172, 31, 5, 61, 172, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2024-05-09', 3, 142, 37, 3, 62, 142, 'Kota Bogor Tanah Sereal', 'Unhealthy for Sensitive Groups'),
('2024-05-10', 3, 159, 31, 4, 52, 159, 'Kota Bogor Tanah Sereal', 'Unhealthy'),
('2023-12-03', 68, 157, 72, 12, 32, 72, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-02-10', 68, 157, 80, 12, 32, 80, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-02-11', 68, 157, 72, 12, 32, 72, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-02-27', 68, 157, 55, 12, 32, 55, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-03-02', 68, 157, 55, 12, 32, 55, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-03-03', 68, 157, 53, 12, 32, 53, 'Kota Bogor Tanah Sereal', 'Hazardous'),
('2024-04-20', 68, 157, 53, 12, 32, 53, 'Kota Bogor Tanah Sereal', 'Hazardous'),
