(`TIME`, `PM10`, `PM25`, `NO2`, `O3`, `SO2`, `MAX_VALUE`, `LOKASI`, `LEVEL`),
('2024-05-21', 57, 144, 7, 26, 3, 144, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-21', 52, 5, 23, 2, 18, 52, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-21', 54, 153, 5, 37, 63, 153, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-21', 54, 105, 1, 6, 11, 105, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-05-21', 59, 158, 2, 0, 29, 158, 'Bekasi Kayuringin', 'Unhealthy'),
('2024-05-21', 57, 144, 7, 26, 3, 144, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-21', 52, 5, 23, 2, 18, 52, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-21', 54, 153, 5, 37, 63, 153, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-21', 54, 105, 1, 6, 11, 105, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-05-21', 59, 158, 2, 0, 29, 158, 'Bekasi Kayuringin', 'Unhealthy'),
('2024-05-24', 68, 129, 7, 28, 3, 129, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-24', 54, 4, 23, 1, 19, 54, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-24', 60, 160, 5, 39, 63, 160, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-24', 70, 154, 0, 6, 12, 154, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-24', 54, 152, 2, 0, 31, 152, 'Bekasi Kayuringin', 'Unhealthy'),
('2024-05-25', 49, 82, 7, 29, 3, 82, 'Jakarta GBK', 'Moderate'),
('2024-05-25', 30, 2, 22, 1, 16, 30, 'Kota Bogor Tanah Sereal', 'Good'),
('2024-05-25', 30, 93, 5, 39, 63, 93, 'Depok Pancoran Mas', 'Moderate'),
('2024-05-25', 54, 135, 15, 6, 2, 135, 'Kabupaten Tangerang Curug', 'Unhealthy for Sensitive Groups'),
('2024-05-25', 30, 90, 2, 0, 31, 90, 'Bekasi Kayuringin', 'Moderate'),
('2024-05-26', 70, 147, 7, 28, 4, 147, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 56, 4, 23, 1, 24, 56, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-26', 63, 163, 5, 38, 63, 163, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-26', 69, 159, 15, 6, 2, 159, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-26', 52, 150, 2, 0, 32, 150, 'Bekasi Kayuringin', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 70, 147, 7, 28, 4, 147, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 56, 4, 23, 1, 24, 56, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-26', 63, 163, 5, 38, 63, 163, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-26', 69, 159, 15, 6, 2, 159, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-26', 52, 150, 2, 0, 32, 150, 'Bekasi Kayuringin', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 70, 147, 7, 28, 4, 147, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 56, 4, 23, 1, 24, 56, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-26', 63, 163, 5, 38, 63, 163, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-26', 69, 159, 15, 6, 2, 159, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-26', 52, 150, 2, 0, 32, 150, 'Bekasi Kayuringin', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 70, 147, 7, 28, 4, 147, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 56, 4, 23, 1, 24, 56, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-26', 63, 163, 5, 38, 63, 163, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-26', 69, 159, 15, 6, 2, 159, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-26', 52, 150, 2, 0, 32, 150, 'Bekasi Kayuringin', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 70, 147, 7, 28, 4, 147, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 56, 4, 23, 1, 24, 56, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-26', 63, 163, 5, 38, 63, 163, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-26', 69, 159, 15, 6, 2, 159, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-26', 52, 150, 2, 0, 32, 150, 'Bekasi Kayuringin', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 70, 147, 7, 28, 4, 147, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-05-26', 56, 4, 23, 1, 24, 56, 'Kota Bogor Tanah Sereal', 'Moderate'),
('2024-05-26', 63, 163, 5, 38, 63, 163, 'Depok Pancoran Mas', 'Unhealthy'),
('2024-05-26', 69, 159, 15, 6, 2, 159, 'Kabupaten Tangerang Curug', 'Unhealthy'),
('2024-05-26', 52, 150, 2, 0, 32, 150, 'Bekasi Kayuringin', 'Unhealthy for Sensitive Groups'),
('2023-09-27', 88, 145, 19, 51, 19, 145, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-09-28', 111, 181, 19, 51, 15, 181, 'Jakarta GBK', 'Unhealthy'),
('2023-09-29', 106, 191, 19, 48, 8, 191, 'Jakarta GBK', 'Unhealthy'),
('2023-09-30', 103, 210, 26, 43, 14, 210, 'Jakarta GBK', 'Very Unhealthy'),
('2023-10-01', 57, 78, 9, 40, 11, 78, 'Jakarta GBK', 'Moderate'),
('2023-10-02', 152, 197, 14, 51, 9, 197, 'Jakarta GBK', 'Unhealthy'),
